Area,Year,SoyaBeansProd,SoyaBeansProdLogDiff,SoyaBeansProdSD2,SoyaBeansProdSD3,SoyaBeansProdSD4,Population,PopulGrowth,PopulationSD2,PopulLogDiff,MalePopul,MalePopulGrowth,MalePopulSD2,MalePopulLogDiff,RuralPopul,RuralPopulGrowth,RuralPopulSD2,RuralPopulLogDiff,AgriLandShare,AgriLand,IrrigationEquippedLand,TempChange,tas,tasmax,tasmin,tr,tnn,txx,pr,rx1day,rx5day,fd,CattleMeatProd,CattleMeatProdLogDiff,CattleMeatProdSD2,CattleMeatProdSD3,CattleMeatProdSD4,CattleRawMilkProd,CattleRawMilkProdLogDiff,CattleRawMilkProdSD2,CattleRawMilkProdSD3,CattleRawMilkProdSD4,ChickensMeatProd,ChickensMeatProdLogDiff,ChickensMeatProdSD2,ChickensMeatProdSD3,ChickensMeatProdSD4,PotatoesProd,PotatoesProdLogDiff,PotatoesProdSD2,PotatoesProdSD3,PotatoesProdSD4,MaizeProd,MaizeProdLogDiff,MaizeProdSD2,MaizeProdSD3,MaizeProdSD4,HenEggsProd,HenEggsProdLogDiff,HenEggsProdSD2,HenEggsProdSD3,HenEggsProdSD4
Argentina,1971,59000,0.121242591,13435.02884,117874.2268,203967.9305,24223.379,1.607599832,275.3579872,0.006926193,12014.71,1.48656938,126.2942209,0.006408572,5038.762,-0.368145985,13.11683079,-0.001601788,46.54637537,127383,1310,-0.26,14.54,21.35,7.76,2.72,1.87,27.35,549.3,16.44,30.83,4.56,2000893,0.03943873,134498.0737,99832.03684,85188.42296,4835390,0.046747183,388571.4397,282114.3318,241489.605,201300,-0.01570638,5055.813485,3676.370493,36538.50971,1958400,-0.164861427,437416.2548,316285.5882,381521.179,9930000,-0.229051632,2877924.599,2286314.356,1994281.408,192300,0.019195166,6144.757929,5167.562288,8635.895534
Argentina,1972,78000,0.542474301,137178.7156,209179.3489,198677.9219,24612.794,1.656837497,288.3539027,0.007136595,12193.317,1.54297637,133.0350698,0.006649889,5020.212,-0.346359875,12.29517271,-0.001506833,46.54637537,127383,1340,-0.008,14.69,21.14,8.29,3.07,2.53,27.35,627.89,19.94,37.23,4.41,2191102,-0.008511471,30069.00876,21622.15824,136635.8448,5384913,-0.013426329,115915.3075,82202.45177,187681.6497,194150,0.00465014,1477.853173,43235.95841,42237.52084,1339800,0.05895522,137744.401,435611.9986,392746.3091,5860000,0.218874118,2715290.04,2276957.034,1900280.681,200990,-0.020325847,6498.311319,9150.029144,7589.072561
Argentina,1973,272000,0.260912772,158391.919,126270.8729,172794.6758,25020.588,1.715251456,303.4661889,0.007386077,12381.457,1.604496143,140.4738332,0.006912927,5002.824,-0.386241851,13.66342433,-0.001680675,46.54637537,127383,1380,-0.139,14.46,20.82,8.15,2.76,2.97,26.66,649.83,21.05,38.62,4.22,2148578,0.002912021,10221.22852,163403.6857,310774.1234,5220984,0.005877567,50302.86931,229855.972,278566.5843,196240,0.138672728,52198.62259,41638.39854,34308.96324,1534600,0.150984581,451134.1264,431934.5475,361540.8817,9700000,0.00886346,141421.3562,1216552.506,1902412.394,191800,0.03957745,12940.0541,9277.41372,8766.521393
Argentina,1974,496000,-0.009739938,7778.174593,118196.1646,431594.7173,25449.754,1.673116369,301.0888959,0.007206135,12580.117,1.582330276,140.7559688,0.006818171,4983.501,-0.457890949,16.13546964,-0.001993162,46.54637537,127383,1410,-0.106,14.5,21.09,7.95,2.4,2.43,26.96,561.25,18.73,36.55,4.34,2163033,0.052068876,194821.3532,325403.9904,345839.3464,5292123,0.028409294,252972.4007,260654.1187,252523.2757,270060,-0.005714164,2496.086938,8722.341047,10475.0891,2172600,-0.206903443,582231.7236,433408.1333,356509.4237,9900000,-0.109144469,1555634.919,2025094.648,1670929.756,210100,-0.025112099,8346.688445,9529.088379,10377.66595
Argentina,1975,485000,0.156243066,148492.424,479296.3593,908597.8208,25875.558,1.602666887,293.2364751,0.006905108,12779.176,1.53317397,138.5413103,0.006607963,4960.682,-0.543413184,19.0614775,-0.002366449,46.54637537,127383,1440,-0.021,14.76,21.33,8.24,2.77,2.32,27.3,595.7,20.37,37.18,4.3,2438552,0.061792164,263650.4202,250113.2198,312089.6396,5649880,0.011341968,105708.9283,251544.9849,277501.2041,266530,-0.021768136,9213.601359,9516.580268,7786.648295,1349200,0.053563572,125228.6109,210857.3056,173613.2171,7700000,-0.118963826,1304612.011,1274235.065,1593896.562,198296,-0.015735219,4989.345448,6102.287221,9179.275207
Argentina,1976,695000,0.304143231,498510.2807,909674.8503,1314187.804,26290.257,1.610950399,299.4759853,0.006940513,12975.103,1.546631268,141.9000675,0.006665521,4933.725,-0.60402637,21.07248919,-0.002631208,46.54637537,127383,1441,-0.321,14.24,20.79,7.72,2.67,2.14,27.19,633.35,19.28,36.2,4.61,2811410,0.015531977,72383.69276,197643.7724,163105.7014,5799375,-0.038399635,347016.8955,314690.4081,260977.4436,253500,-0.009526283,3889.087297,3685.557398,14238.29929,1526300,0.064137026,171756.2372,125496.1752,107422.4798,5855000,0.151551193,1728876.08,1946023.724,1632382.589,191240,-0.011729693,3603.416157,11048.09655,18863.40556
Argentina,1977,1400000,0.251811973,777817.4593,1150362.262,1056330.125,26713.78,1.618419408,305.7112529,0.006972436,13175.78,1.566009754,145.9001706,0.006748391,4903.924,-0.647175609,22.44144791,-0.002819782,46.54637537,127383,1442,0.432,15.14,21.54,8.79,3.56,2.53,27.59,676.75,19.13,33.92,3.87,2913776,0.039775943,197613.7179,141051.285,153564.2225,5308619,-0.007915827,67799.5195,69918.22108,57680.74141,248000,0.0120885,4949.747468,16822.60384,16887.78528,1769200,-0.045561155,124592.2148,88414.25224,93043.41281,8300000,0.067693642,989949.4937,721110.2551,1381725.974,186144,0.046775399,14968.03634,20944.39928,34688.43757
Argentina,1978,2500000,0.170261715,848528.1374,642910.0507,589540.7817,27146.121,1.613538082,309.7219625,0.006951573,13382.114,1.571022336,148.6593012,0.006769824,4872.187,-0.650919187,22.42518446,-0.002836147,46.54637537,127383,1443,0.362,15,21.45,8.59,2.76,3.44,27.41,644.57,18.61,34.61,3.75,3193244,-0.024196545,122361.293,177012.7135,149746.5213,5212736,0.011192902,96231.57607,69654.20536,57121.339,255000,0.040617851,17677.66953,14625.00712,12267.05445,1593000,0.02669763,71417.7849,66710.81871,319067.0293,9700000,-0.047252482,707106.7812,1692138.686,2697375.267,207312,0.041371355,14651.25251,30589.27372,34458.87092
Argentina,1979,3700000,-0.02413368,141421.3562,140118.997,271906.8468,27584.134,1.597545169,311.6000382,0.006883215,13592.35,1.557508451,149.6959198,0.006712038,4840.473,-0.633429832,21.68060102,-0.0027597,46.54637537,127383,1444,0.266,14.82,21.31,8.37,2.83,3.27,27.36,625.52,20.75,38.03,3.83,3020199,-0.026832231,127951.6792,90640.95311,204996.4378,5348828,-0.003445799,29890.11075,35300.77354,54327.60235,280000,0.001007015,459.6194078,1663.079473,14870.46149,1694000,-0.033567348,89095.45443,361241.4751,295111.9961,8700000,-0.133339279,1626345.597,3295957.119,2694438.717,228032,0.06936533,27924.3539,27839.6861,24684.15064
Argentina,1980,3500000,0.032273306,190918.8309,326547.5973,283607.7103,28024.803,1.59316731,315.7104499,0.0068645,13804.052,1.551131508,151.4049969,0.006684767,4809.812,-0.97267835,33.08128365,-0.004244967,46.54637537,127383,1445,0.373,15.13,21.66,8.64,3.77,2.59,27.49,630.36,19.54,35.5,4.01,2839248,0.015026549,70680.27253,201825.6194,230056.2298,5306557,-0.002284207,19683.73147,65485.41055,170795.7641,280650,-0.004902059,2227.386361,17348.84722,21127.2484,1568000,0.156276341,480196.2151,343554.535,286429.0341,6400000,0.304409736,4596194.078,3250128.203,2672545.603,267523,0.022533626,10074.15031,7438.318112,6339.146972
Argentina,1981,3770000,0.041706747,268700.5769,191398.3629,1521380.952,28471.285,1.585727515,319.2424482,0.006832695,14018.171,1.541406507,152.789512,0.006643175,4763.028,-1.133249689,38.16750273,-0.004949741,46.54637537,127383,1446,0.378,15.01,21.41,8.65,3.14,2.84,27.09,636.71,18.96,35.93,3.78,2939205,-0.061597398,274826.2429,256361.9725,214598.4532,5278720,0.010144199,88212.27806,191122.8561,162850.9566,277500,0.046695492,22273.86361,22220.93607,18657.50519,2247100,-0.092277033,304154.9109,216235.2759,181789.0638,12900000,-0.128318477,2333452.378,2100000,1786057.11,281770,-0.005295725,2414.769658,4822.925288,5423.445054
Argentina,1982,4150000,-0.015988105,106066.0172,1690414.15,1559046.183,28922.762,1.570994499,321.2916437,0.006769705,14234.248,1.534348706,154.4342423,0.006612987,4709.051,-1.137256742,37.86839656,-0.004967343,46.54674077,127384,1449,0.359,15.07,21.36,8.83,3.11,3.05,27.35,652.19,19.36,35.62,3.78,2550542,-0.016533222,67367.47726,55945.29496,170239.8309,5403471,0.019683286,177153.5832,125394.0726,116378.24,309000,0.015734028,8061.017306,6087.144925,5813.991744,1816960,0.040205512,124620.4991,145537.8388,180355.4686,9600000,-0.028028724,424264.0687,321455.0254,1293573.861,278355,-0.009631138,4316.886899,4323.18459,4709.432689
Argentina,1983,4000000,0.243038049,2121320.344,1607275.127,1457166.2,29377.137,1.549027735,321.7760118,0.00667577,14452.651,1.520904366,155.4298487,0.006555478,4655.497,-1.161079043,38.22194995,-0.005072005,46.54710618,127385,1450,0.046,14.73,21.16,8.35,3.39,3.04,27.05,623.15,20.69,37.96,4.22,2455270,0.01707402,69614.66261,204249.6165,262127.8312,5654004,-0.008961442,81651.03424,63647.02955,123813.0414,320400,-0.012932118,6646.803743,5186.842328,7771.904528,1993200,0.023845619,79549.51288,125259.7435,106099.5916,9000000,0.023481096,353553.3906,1550268.794,1602862.024,272250,-0.003604124,1590.990258,2478.406746,8082.426925
Argentina,1984,7000000,-0.032184683,353553.3906,321455.0254,275378.5274,29832.197,1.524912832,321.6734814,0.006572625,14672.462,1.511982106,156.8681039,0.006517308,4601.443,-1.185541144,38.57408913,-0.005179503,46.54674077,127384,1451,-0.1,14.18,20.18,8.24,3.2,2.68,25.97,736.65,21.39,40.97,4.44,2553720,0.047342003,207972.8323,237326.6008,226349.6041,5538532,0.008089444,73631.73623,128574.9734,472293.6706,311000,0.011710473,6010.40764,9517.52769,33943.19704,2105700,0.027490859,97297.89309,96377.60805,80305.43257,9500000,0.097823356,1697056.275,1446835.628,1521170.054,270000,-0.004364805,1909.188309,9821.574891,10249.67479
Argentina,1985,6500000,0.038344992,424264.0687,305505.0463,1586400.538,30287.112,1.522806136,326.127547,0.006563613,14894.307,1.527241247,160.8469937,0.006582585,4546.891,-1.224023184,39.35402791,-0.005348667,46.54674077,127384,1452,0.308,15.12,21.45,8.82,3.16,3.06,27.11,657.09,21.84,40.45,3.56,2847838,0.025982195,124150.2731,226298.7844,240770.2032,5642663,-0.020139153,180798.7187,551306.0319,481802.9093,319500,0.014043077,7424.621202,35893.07036,29308.54722,2243300,-0.037526405,131309.7293,96725.8497,370661.4122,11900000,0.007238409,141421.3562,1590859.307,1604356.049,267300,0.028607154,12869.34342,12522.51306,20598.452
Argentina,1986,7100000,-0.025183546,282842.7125,1743559.577,1586400.538,30748.326,1.522447108,331.0157762,0.006562077,15121.779,1.533867146,164.0120037,0.006610928,4491.236,-1.257248561,39.92749151,-0.005494775,46.54674077,127384,1453,0.46,15.13,21.43,8.88,3.35,3.27,27.3,679.27,21.11,39.09,3.78,3023413,-0.069828366,317529.1285,280918.7265,240189.0378,5386975,0.077789005,747203.2712,548121.7885,575167.7255,330000,0.068354553,39774.75644,29193.67518,35250.22077,2057600,0.009581565,32456.20126,450081.5519,378597.4159,12100000,-0.116643638,2015254.326,1660070.28,2969111.82,285500,-0.038134419,16970.56275,24920.59991,30462.32263
Argentina,1987,6700000,0.169560392,2262741.7,1907878.403,2162560.211,31216.453,1.519516007,335.4083235,0.006549539,15353.727,1.537913238,166.9670029,0.006628234,4434.77,-1.296369372,40.65227596,-0.005666872,46.54674077,127384,1454,0.446,15.02,21.41,8.68,3.31,2.77,27.37,655.85,20.45,38.12,3.75,2574359,-0.011607119,48006.89359,35577.02388,232044.8978,6443680,-0.0189896,194935.1974,277061.1456,240388.3699,386250,-0.04959229,29472.91775,42292.4664,36310.16779,2103500,0.133286829,534289.8839,421395.068,518343.1395,9250000,-0.002353905,35355.33906,2497165.059,2361629.028,261500,-0.045167391,18264.56816,35699.38235,31427.58502
Argentina,1988,9900000,-0.182721838,2404163.056,2230097.158,2037537.975,31690.792,1.498776048,335.8573363,0.006460805,15589.854,1.521457481,167.7207787,0.006557844,4377.279,-1.325618038,41.03057809,-0.005795585,46.54527915,127380,1455,-0.192,14.63,21.38,7.92,3.11,2.48,27.23,493.22,16.53,31.19,4.43,2506467,0.008984025,37045.32427,275109.1131,251723.1034,6168000,0.037361896,391822.0096,292621.3806,274352.6394,344569,-0.057746958,30335.58802,21465.84326,30900.89537,2859100,-0.122177905,495752.5643,631782.5712,563827.9179,9200000,-0.273591747,3040559.159,2351595.203,2009379.115,235670,0.113743433,49893.45448,37184.93288,31980.96035
Argentina,1989,6500000,0.216470421,2969848.481,2472963.405,2243549.866,32165.766,1.467059731,333.6773261,0.006325076,15827.047,1.4940753,167.2081263,0.006440691,4319.253,-1.367782809,41.77445442,-0.005981204,46.57816559,127470,1469,0.611,15.32,22.01,8.68,3.46,3.12,27.54,530.06,18.68,32.13,3.68,2558857,0.070087412,316884.9542,237254.028,194959.6568,6722120,-0.029409712,311225.9787,311176.0044,329717.8961,301668,0.027939367,14173.95543,37093.69012,65408.99949,2158000,-0.130428466,395859.5893,289535.2304,258034.8877,4900000,0.04219768,353553.3906,1484667.307,2646711.309,306230,-0.02170725,10557.10424,7484.492857,22112.85655
Argentina,1990,10700000,0.006526021,114551.2986,315976.7924,261724.7091,32637.657,1.434251239,331.0009269,0.006184628,16063.515,1.4607824,165.9247275,0.006298207,4260.175,-1.261826099,38.01123213,-0.005514909,46.61287906,127565,1483,0.436,14.97,21.35,8.64,3.52,2.44,27.25,669.17,19.89,37.75,3.88,3007000,-0.013048141,62932.50353,112254.1759,103232.3431,6281980,-0.01127417,113830.0496,352169.4617,501051.6859,321713,0.064878968,36653.58711,63616.61878,150245.1258,1598170,0.039387031,107280.1195,80279.84313,232487.7372,5400000,0.153238809,1615597.574,2658635.545,2630830.057,291300,0.009627957,4617.407281,22532.19105,20392.34579
Argentina,1991,10862000,0.017552806,316783.838,225223.119,372302.8998,33105.763,1.397104184,327.0524426,0.006025552,16298.168,1.417588774,163.3706578,0.006113281,4206.419,-0.322483328,9.591903487,-0.00140279,46.64759253,127660,1497,0.261,14.97,21.32,8.67,2.96,2.42,27.1,666.03,23.23,41.4,4.11,2918000,-0.020416057,94752.30868,71451.61533,64215.13321,6121000,0.045387534,476816.2447,554247.987,794461.958,373549,0.07918144,52827.94762,150340.3532,161990.6015,1749887,-0.031216908,85819.42871,247595.1504,359631.4773,7684800,0.143771502,2132421.92,1801785.65,1501219.101,297830,-0.065813308,29613.632,22203.86528,18230.06491
Argentina,1992,11310000,-0.010281157,187100.4543,339848.3534,476430.8091,33568.285,1.367228025,324.5301928,0.00589757,16529.209,1.382637245,161.6014767,0.005963584,4192.854,-0.356630591,10.5733677,-0.001551595,46.682306,127755,1515,-0.261,14.61,20.9,8.36,3.03,1.92,26.19,731.92,23.57,41.08,4.67,2784000,0.003727873,16970.56275,14153.91583,53106.02602,6795320,0.026332879,300359.8688,620804.0031,874903.1221,448259,0.170072932,151940.2767,138245.3658,140645.4854,1628520,0.11145302,336901.733,399704.7921,376557.4664,10700500,0.008062268,141774.9096,273502.4375,436545.4631,255950,0.013613267,5762.920267,6501.730539,12507.48942
Argentina,1993,11045400,0.025742458,476943.5239,549010.5676,605949.3509,34027.24,1.356137024,326.2986668,0.00585005,16757.748,1.383354136,163.9207869,0.005966655,4177.901,-0.405466764,11.97838887,-0.001764499,46.71701947,127850,1525,0.086,14.96,21.43,8.53,3.05,2.36,27.54,612.87,19.6,37.31,4.18,2808000,-0.003883897,17677.66953,63311.39971,61239.28478,7220093,0.045527973,564266.9687,775422.587,850858.4257,663135,0.027438903,30581.66118,55735.97462,48763.14729,2104971,0.061045814,224637.9249,184901.4919,152524.5382,10901000,-0.022106584,382544.7686,522135.496,464742.7926,264100,0.007660863,3323.401872,11303.24437,12258.6116
Argentina,1994,11719900,0.015044292,292105.8113,365245.0182,623661.1505,34488.696,1.326272237,323.4405412,0.005722065,16989.567,1.359893398,163.3699507,0.005866145,4160.961,-0.456024462,13.41735117,-0.001985019,46.75282915,127948,1538,0.487,15.54,21.91,9.2,3.33,2.94,27.79,601.12,21.25,37.7,3.68,2783000,-0.015083942,67175.14421,53200.87719,43706.40685,8018087,0.038964334,532189.7767,571687.4082,592211.3869,706384,0.039551389,47624.34882,34109.31914,34055.88791,2422657,0.000910601,3595.637982,86734.78729,325879.718,10360000,0.041699015,738248.4709,562676.96,2431813.505,268800,0.026328939,11879.39392,10804.51912,10453.63533
Argentina,1995,12133000,0.01113836,222880.0574,758850.7724,3490503.656,34946.11,1.26838724,313.426495,0.005473894,17220.607,1.292352819,157.3673213,0.005576659,4141.986,-0.511035045,14.96732924,-0.002225087,46.78827343,128045,1550,0.259,14.97,21.64,8.33,3.17,2.54,28.21,506.75,17.02,29.86,4.26,2688000,0.000968327,4242.640687,12489.996,114869.0848,8770717,0.017902307,260991.6987,303132.1179,448405.5941,773735,-0.01384842,17170.67397,17076.14391,62120.39296,2427742,-0.028214449,107980.1552,388591.3511,526782.9619,11404041,-0.035113629,626320.5385,2678620.928,4073971.659,285600,0.005094555,2382.949853,3370,9722.494107
Argentina,1996,12448200,-0.053520851,1020574.288,4108575.077,4479875.463,35389.362,1.205472424,301.6581168,0.005203996,17443.158,1.219440883,150.4079763,0.005263934,4120.819,-0.553870481,16.13900517,-0.002412115,46.8237177,128142,1552,0.512,14.99,21.5,8.53,3.16,3.03,28.01,633.16,19.18,35.69,3.93,2694000,0.002892094,12727.92206,135302.0529,120198.848,9139815,0.010885143,164031.0956,357724.3155,666427.7163,749452,0.018680023,23291.39027,73278.83412,89544.9877,2275035,0.12176998,520637.7732,576854.963,481455.8565,10518290,0.169416994,3548636.595,4434613.88,3711929.661,288970,0.005035485,2382.949853,9938.626666,13895.6564
Argentina,1997,11004890,0.231002431,5464013.502,4868782.854,4355001.048,35815.971,1.164910481,295.0219197,0.005029902,17655.867,1.173932722,146.5606083,0.005068632,4097.995,-0.591606383,17.1430968,-0.002576944,46.85770036,128235,1555,0.759,15.36,21.63,9.13,3.56,3.25,27.99,668.03,21.2,39.13,3.55,2712000,-0.040738869,171707.4468,142498.7505,123757.6303,9371790,0.021257547,332436.3537,646077.3274,534089.4917,782391,0.055769464,75806.08958,80660.54311,78927.49507,3011328,0.054301235,283597.1954,357138.2781,503412.2365,15536820,0.095557934,2703860.366,2973575.865,2449357.815,292340,0.022126325,10804.59162,13315.91654,14996.69207
Argentina,1998,18732172,0.028441859,896489.7762,774166.3301,3683734.942,36233.195,1.158705436,296.8688826,0.005003263,17863.135,1.172067501,148.0455326,0.005060625,4073.751,-0.611058457,17.6020091,-0.002661934,46.89241383,128330,1558,0.351,15.04,21.25,8.87,2.47,3.58,27.12,626.9,21.05,35.97,3.03,2469169,0.041983599,177211.566,144180.4006,146575.5831,9841926,0.034236888,570828.9197,409960.2914,399304.556,889597,0.024114693,35916.07474,35432.97452,30844.97097,3412395,-0.101695533,503739.3354,599714.3261,509352.0598,19360656,-0.156454423,4141210.462,2935173.449,2469203.982,307620,0.015599094,7954.951288,9701.167885,11219.77437
